decision,notes,project_id,project_name,canonical_address,field,current_value,resolved_value,rule_applied,resolution_confidence,project_confidence,delta_shape,last_evidence_date,evidence_count,supporting_evidence_count,evidence_ids,winning_source_type,winning_source_tier,winning_evidence_date,winning_collected_at,winning_source_record_id,delta_signed,delta_abs,winning_observed_value
,,e49bd069-a6b4-486c-8aac-d71857105224,NOW,11660-11674 SANTA MONICA BOULEVARD LOS ANGELES CA 90025,total_units,180,166,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""1ad1d789-7e51-4a9f-9c13-f78704ad332d""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10918031,-14,14,166
,,333cd944-9cdb-4dbc-92dc-a85ddfb0eedf,Walker,3550 WILSHIRE BOULEVARD LOS ANGELES CA 90010,total_units,507,495,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""6c3aaef5-ba78-4d0a-804f-39f69a669123""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,21229187,-12,12,495
,,bd798e34-6ad0-4b55-b560-f8baa5c98403,5843 W Pico Blvd,5843 WEST PICO BOULEVARD LOS ANGELES CA 90019,total_units,48,40,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""c8b9e850-44ea-4095-98ad-5ebd478af671""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,11603688,-8,8,40
,,10a42f38-431d-42ce-be6f-97a392182f63,715 S Mariposa St,715 SOUTH MARIPOSA STREET LOS ANGELES CA 90005,total_units,44,38,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""5796659a-9b6e-4d26-856d-8c6f2c601b66""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10615289,-6,6,38
,,e93d889d-2058-4214-8c26-f75f79711b22,5430 W Virginia Ave,5430 WEST VIRGINIA AVENUE LOS ANGELES CA 90029,total_units,60,65,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""d15fae96-0a3c-4448-82f0-b4f931ca5094""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,11062871,5,5,65
,,12099ae4-a746-48b7-b150-67e800bd36be,Tower Flats,2412 SOUTH FEDERAL AVENUE LOS ANGELES CA 90064,total_units,36,40,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""a35246ed-dbe4-4177-9ae4-3380ad959e7e""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10885057,4,4,40
,,83825b14-194b-4c06-a6cb-76a33ba9b809,St Andrews Apartment Villas,1310 SOUTH ST ANDREWS PLACE LOS ANGELES CA 90019,total_units,86,88,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""95cc19a2-c338-4f97-bdb9-469f44b2f961""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10985880,2,2,88
,,6fb0cbe7-ba73-42d5-bf46-c93c54c1c0be,1749 N Las Palmas,1749 NORTH LAS PALMAS AVENUE LOS ANGELES CA 90028,total_units,68,70,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""71df74f6-ac4e-40b9-8c05-66aca9a655a2""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10342690,2,2,70
,,6280b425-5d10-4a91-a4fb-088ae7f0f391,Pico & Manning,10615 WEST PICO BOULEVARD LOS ANGELES CA 90064,total_units,67,66,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""e24b10c9-5a94-4fa4-bab9-01ce5e6868ef""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,21425533,-1,1,66
,,018f5978-a483-498b-9638-91ca8c00005d,Central Plaza,3440-3470 WILSHIRE BOULEVARD LOS ANGELES CA 90010,total_units,640,641,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""0366dece-ae9c-4759-9a4e-c34b1a6bcca7""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10120215,1,1,641
,,22680410-f78b-4d88-b6a2-0a9f576550e7,6007 Sunset Blvd,6007 SUNSET BOULEVARD LOS ANGELES CA 90028,total_units,109,110,most_recent_wins,high,low,value_changed,2026-04-16,2,1,"[""ab88bf77-0f80-4d10-8561-4ba6d809a4db""]",costar,3,2026-04-16,2026-04-16T04:19:10.855014+00:00,10219477,1,1,110
