project_id,project_name,canonical_address,field,current_value,resolved_value,rule_applied,resolution_confidence,project_confidence,last_evidence_date,evidence_count,raw_value,canonical_name,match_type,match_score,requires_review
35ea5234-cbfb-4a46-9e55-75a7afc1c3cd,Crossroads Hollywood B3,6665-6713 WEST SUNSET BOULEVARD LOS ANGELES CA 90028,developer,Category,Harridge Development Group,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Harridge Development Group,Harridge Development Group,new_registry_entry,,true
d6b442b5-c6f9-4924-9986-73a2d6dcd42d,Crossroads Hollywood D1,6675 SELMA AVENUE LOS ANGELES CA 90028,developer,Category,Harridge Development Group,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Harridge Development Group,Harridge Development Group,new_registry_entry,,true
4b33492d-2d8e-4465-92dc-1514c09a25b3,668 Coronado,668 SOUTH CORONADO STREET LOS ANGELES CA 90057,developer,Category,Donaldson + Partners,most_recent_wins_canonicalization_review_required,high,low,2026-04-10,4,Donaldson + Partners,Donaldson + Partners,new_registry_entry,,true
e48ee80c-7a31-4dad-be0d-327f61a99f92,Crossroads Hollywood Hotel,6700-6760 SELMA AVENUE LOS ANGELES CA 90028,developer,Category,Harridge Development Group,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Harridge Development Group,Harridge Development Group,new_registry_entry,,true
3b90dd77-1189-4897-921a-03fd049a4a83,,6766 HAWTHORN AVENUE LOS ANGELES CA 90028,developer,Category,STS Construction,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,2,STS Construction,STS Construction,new_registry_entry,,true
9d0b54c9-1836-4fbe-afed-1696cc78aef9,MacArthur Park Metro Apartments,678 SOUTH ALVARADO STREET LOS ANGELES CA 90057,developer,Category,McCormack Baron West Coast Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,McCormack Baron West Coast Development,McCormack Baron West Coast Development,new_registry_entry,,true
56e43e92-1bb8-4dd4-87f8-773886e91c4a,,684 SOUTH NEW HAMPSHIRE AVENUE LOS ANGELES CA 90005,developer,Category,Harridge Development Group,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Harridge Development Group,Harridge Development Group,new_registry_entry,,true
66aee360-79b1-446a-acc1-4499520188b7,,700 NORTH VIRGIL AVENUE LOS ANGELES CA 90029,developer,Category,"Continental Development Group, LLC",most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,"Continental Development Group, LLC","Continental Development Group, LLC",new_registry_entry,,true
75f904de-6c7e-4376-8ad3-2d8f7a170d72,Macro at Echo Park,707 NORTH ALVARADO STREET LOS ANGELES CA 90026,developer,Category,SRO Housing Corporation,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,SRO Housing Corporation,SRO Housing Corporation,new_registry_entry,,true
3c31ccc5-e53b-4ef8-8c39-aa5f8c95ba10,Alvarado Kent,707-721 NORTH ALVARADO STREET LOS ANGELES CA 90026,developer,Category,SRO Housing Corporation,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,SRO Housing Corporation,SRO Housing Corporation,new_registry_entry,,true
7bf2192d-2f3d-4e84-91bd-deb8332e4de3,New High Village Senior Housing,725 NORTH SPRING STREET LOS ANGELES CA 90012,developer,Category,LINC Housing Corporation,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,2,LINC Housing Corporation,LINC Housing Corporation,new_registry_entry,,true
6d127255-cb33-4eda-a14f-982130fe2d38,,7811 SOUTH WESTERN AVENUE LOS ANGELES CA 90047,developer,Category,Home At Last Community Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Home At Last Community Development,Home At Last Community Development,new_registry_entry,,true
e943ca19-8c43-40e3-a63b-aba6d6830ba4,,7924 SOUTH WESTERN AVENUE LOS ANGELES CA 90047,developer,Category,Logos Faith Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-08,7,Logos Faith Development,Logos Faith Development,new_registry_entry,,true
4ab4a81c-e3b2-488b-ac68-581895af67e6,The Leonard on Beverly,8070 WEST BEVERLY ROAD LOS ANGELES CA 90048,developer,Category,Willis Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-01,1,Willis Development,Willis Development,new_registry_entry,,true
ab0822a2-db60-442a-af32-7b4aa09701e5,,8251-8271 MELROSE AVENUE LOS ANGELES CA 90046,developer,Category,4D Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,4D Development,4D Development,new_registry_entry,,true
82d34a4c-8ba0-4b49-8140-0e12cc25b359,St Andrews,832 SOUTH ST ANDREWS PLACE LOS ANGELES CA 90005,developer,Category,FMB Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-01,1,FMB Development,FMB Development,new_registry_entry,,true
720d9077-6756-44d2-b83d-06f8313e17c3,,836 WEST 42ND PLACE LOS ANGELES CA 90037,developer,Category,Jiliang Construction Inc,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Jiliang Construction Inc,Jiliang Construction Inc,new_registry_entry,,true
e965ca44-75e4-4005-bee0-f68fb89cf016,,8911 RAMSGATE AVENUE LOS ANGELES CA 90045,developer,Category,HVN Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,HVN Development,HVN Development,new_registry_entry,,true
bdc559cc-79c0-4812-b9a2-5dee051d10dc,,901 LEVERING AVENUE LOS ANGELES CA 90024,developer,Category,UCLA Housing & Hospitality,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,UCLA Housing & Hospitality,UCLA Housing & Hospitality,new_registry_entry,,true
4771e931-598b-429b-bb83-5fcb975d7680,Everett,950 NORTH EVERETT STREET LOS ANGELES CA 90026,developer,Category,Rockport Development Inc,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Rockport Development Inc,Rockport Development Inc,new_registry_entry,,true
4dc865a9-3d6f-4510-9c60-18c77bd482be,MacArthur Park-Area Hotel,960 MENLO AVENUE LOS ANGELES CA 90006,developer,Category,JT Construction Company,most_recent_wins_canonicalization_review_required,low,low,2024-10-01,1,JT Construction Company,JT Construction Company,new_registry_entry,,true
970a53f3-3b46-4fe2-a246-7d8bbbd89d5f,Holy Trinity Apartments,9704 SOUTH BROADWAY LOS ANGELES CA 90003,developer,Category,Logos Faith Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Logos Faith Development,Logos Faith Development,new_registry_entry,,true
b460a3ab-8e1c-4792-a88d-25f7514914bc,Courtyard By Marriott Los Angeles USC Area,NWQ WEST VERMONT 37TH AVE ST LOS ANGELES CA 90007,developer,Category,Orion Housing,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,1,Orion Housing,Orion Housing,new_registry_entry,,true
3a521968-504f-40b1-b6fe-2eb2c141d431,"Los Angeles, Autograph Collection",NWQ WILSHIRE BOULEVARD LOS ANGELES CA 90005,developer,Category,JL Real Estate Development,most_recent_wins_canonicalization_review_required,medium,low,2026-04-16,2,JL Real Estate Development,JL Real Estate Development,new_registry_entry,,true
