project_id,project_name,canonical_address,field,current_value,resolved_value,rule_applied,resolution_confidence,project_confidence,last_evidence_date,evidence_count,raw_value,canonical_name,match_type,match_score,requires_review
98e4ef00-0e39-41db-b5c7-762dda5c60b6,555 Harvard,555 SOUTH HARVARD BOULEVARD LOS ANGELES CA 90020,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2025-09-10,1,Jamison Services,Jamison Properties,exact_alias,,false
095aae1e-9d17-42c8-aaa0-48e2d5031125,Superior Court Adaptive Reuse,600 SOUTH COMMONWEALTH AVENUE LOS ANGELES CA 90005,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2025-01-29,1,Jamison Services,Jamison Properties,exact_alias,,false
bd450b13-ac1e-4336-87ba-d46009125aa7,Korean American National Museum,605 SOUTH VERMONT AVENUE LOS ANGELES CA 90005,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,medium,low,2026-04-16,1,"Jamison Services, Inc.",Jamison Properties,exact_alias,,false
74779694-3bfb-4018-b3bd-8d38de59c795,635 S Western Ave,635 SOUTH WESTERN AVENUE LOS ANGELES CA 90005,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2026-04-16,2,"Jamison Services, Inc.",Jamison Properties,exact_alias,,false
36d8cb66-002f-4920-9b6e-0147fa6c9dac,,638 SOUTH BERENDO STREET LOS ANGELES CA 90010,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,medium,low,2026-04-16,1,"Jamison Services, Inc.",Jamison Properties,exact_alias,,false
0c23fafd-78d6-4752-a05d-249cbfcc9d0d,6380 Wilshire Blvd,6380 WILSHIRE BOULEVARD LOS ANGELES CA 90048,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2026-04-16,2,"Jamison Services, Inc.",Jamison Properties,exact_alias,,false
b979ba67-af41-493d-9fe2-e03eba66c74b,Gemma South,678 SOUTH ARDMORE AVENUE LOS ANGELES CA 90010,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2022-05-27,1,Jamison Services,Jamison Properties,exact_alias,,false
e94c49e8-b1f6-4a2e-8daf-b9b795598c64,689 Catalina,689 SOUTH CATALINA STREET LOS ANGELES CA 90010,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2024-02-03,1,Jamison Services,Jamison Properties,exact_alias,,false
10a42f38-431d-42ce-be6f-97a392182f63,715 S Mariposa St,715 SOUTH MARIPOSA STREET LOS ANGELES CA 90005,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2026-04-16,2,"Jamison Services, Inc.",Jamison Properties,exact_alias,,false
4c4bd424-587c-4ae5-beb7-923e51f9389d,730 South Western Avenue,730 SOUTH WESTERN AVENUE LOS ANGELES CA 90005,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2025-08-07,1,Jamison Services,Jamison Properties,exact_alias,,false
d3e7db3c-8554-4a23-bee2-9b2859de0f8a,738 NORMANDIE,738 SOUTH NORMANDIE AVENUE LOS ANGELES CA 90005,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2026-04-10,3,Jamison Services,Jamison Properties,exact_alias,,false
197495d7-697b-49c7-8a81-fa2d1eb4cc0b,Roya,744-762 SOUTH SERRANO AVENUE LOS ANGELES CA 90005,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2024-02-05,1,Jamison Services,Jamison Properties,exact_alias,,false
33f35a11-8ae7-4e66-96f4-09dd5a3ac05f,Western Station,800 SOUTH WESTERN AVENUE LOS ANGELES CA 90005,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2025-03-05,1,Jamison Services,Jamison Properties,exact_alias,,false
48d31814-8f64-4fd5-9ff0-0021d87d6dad,Hana,801 SOUTH BERENDO STREET LOS ANGELES CA 90005,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2021-12-11,1,Jamison Services,Jamison Properties,exact_alias,,false
53f46844-d6a9-445d-a4d6-be19efb9c2fb,The Harper,808 SOUTH HARVARD BOULEVARD LOS ANGELES CA 90005,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2021-09-04,1,Jamison Services,Jamison Properties,exact_alias,,false
41cc1249-5e0a-42ec-a62b-b2e3548c3f5e,Kara,815 SOUTH KINGSLEY DRIVE LOS ANGELES CA 90005,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2024-11-04,1,Jamison Services,Jamison Properties,exact_alias,,false
f8205017-01bd-4b8f-b8ae-4443b447ec6c,The 900 Apartments,900 SOUTH VERMONT AVENUE LOS ANGELES CA 90006,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2021-12-13,1,Jamison Services,Jamison Properties,exact_alias,,false
dc1f2a03-b5b9-4634-9bb4-fd16d33c0aeb,The Heights - West,975 SOUTH MANHATTAN PLACE LOS ANGELES CA 90019,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,medium,low,2026-04-16,1,Jamison Service,Jamison Properties,exact_alias,,false
f36c8f4b-6d1e-478f-9bc1-985efeba5985,Somi Apartments,988 SOUTH MANHATTAN PLACE LOS ANGELES CA 90006,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,high,low,2025-11-14,1,Jamison Services,Jamison Properties,exact_alias,,false
bc08f35c-3f32-489a-b169-213203cd67aa,990 Mariposa,990 SOUTH MARIPOSA AVENUE LOS ANGELES CA 90006,developer,Jamison Services,Jamison Properties,most_recent_wins_canonicalized,medium,low,2026-04-16,1,"Jamison Services, Inc.",Jamison Properties,exact_alias,,false
3a630b18-5162-4d28-b43e-4590e048f5f6,Louisiana Glen,10405 LOUISIANA AVENUE LOS ANGELES CA 90025,developer,Wiseman Development,Wiseman Residential,most_recent_wins_canonicalized,high,low,2024-10-31,1,Wiseman Development,Wiseman Residential,exact_alias,,false
4fb6983f-2d8b-43f7-83a1-427de7428814,106 S Kings Rd,106 SOUTH KINGS ROAD LOS ANGELES CA 90048,developer,Wiseman Development,Wiseman Residential,most_recent_wins_canonicalized,high,low,2021-03-29,1,Wiseman Development,Wiseman Residential,exact_alias,,false
9c12482c-eb69-4e06-9c70-73380537a368,Darlington Legacy Apartments,11668 WEST DARLINGTON AVENUE LOS ANGELES CA 90049,developer,Wiseman Development,Wiseman Residential,most_recent_wins_canonicalized,high,low,2024-10-31,1,Wiseman Development,Wiseman Residential,exact_alias,,false
0400cf32-7ad5-4809-ab1c-f5e39f852a91,Common Fountain,1276 NORTH WESTERN AVENUE LOS ANGELES CA 90029,developer,Wiseman Development,Wiseman Residential,most_recent_wins_canonicalized,high,low,2021-12-13,1,Wiseman Development,Wiseman Residential,exact_alias,,false
02ee9131-39ab-4f42-a488-579007a7dbab,1450 S Barrington Ave,1450 SOUTH BARRINGTON AVENUE LOS ANGELES CA 90025,developer,Wiseman Development,Wiseman Residential,most_recent_wins_canonicalized,high,low,2021-06-20,1,Wiseman Development,Wiseman Residential,exact_alias,,false
bdf2ef1d-6d11-4f46-b4a5-28131c2fa0ab,Dunn Station Apartments,3618 SOUTH DUNN DRIVE LOS ANGELES CA 90034,developer,Wiseman Development,Wiseman Residential,most_recent_wins_canonicalized,high,low,2021-03-29,1,Wiseman Development,Wiseman Residential,exact_alias,,false
8e55ea50-0d97-4664-840b-58a23a441cd3,838 La Brea,836-838 SOUTH LA BREA AVENUE LOS ANGELES CA 90036,developer,Wiseman Development,Wiseman Residential,most_recent_wins_canonicalized,high,low,2023-06-08,1,Wiseman Development,Wiseman Residential,exact_alias,,false
82028142-16f4-42f9-bb3e-0aa9af818854,Ogden Garden,951 SOUTH OGDEN DRIVE LOS ANGELES CA 90036,developer,Wiseman Development,Wiseman Residential,most_recent_wins_canonicalized,high,low,2026-04-10,10,Wiseman Development,Wiseman Residential,exact_alias,,false
e93d889d-2058-4214-8c26-f75f79711b22,5430 W Virginia Ave,5430 WEST VIRGINIA AVENUE LOS ANGELES CA 90029,developer,5432 Virginia LLC,Mehdi Mossazadeh,most_recent_wins,high,low,2026-04-16,2,Mehdi Mossazadeh,Mehdi Mossazadeh,exact_canonical,,false
0726d5f5-0796-48ae-8157-45bbf91061be,Maru Apartments,549 SOUTH HARVARD BOULEVARD LOS ANGELES CA 90020,developer,Jamison Properties,Urban Commons LLC,most_recent_wins,medium,low,2026-04-16,2,Urban Commons LLC,Urban Commons LLC,exact_canonical,,false
333cd944-9cdb-4dbc-92dc-a85ddfb0eedf,Walker,3550 WILSHIRE BOULEVARD LOS ANGELES CA 90010,developer,Jamison Services,Jamison Properties,most_recent_wins,high,low,2026-04-16,2,Jamison Properties,Jamison Properties,exact_canonical,,false
3c07fe68-e3b2-48ac-8366-b21d31bd5b2a,Jayden,4632 WEST SANTA MONICA BOULEVARD LOS ANGELES CA 90029,developer,Jamison Services,Jamison Properties,most_recent_wins,high,low,2026-04-16,2,Jamison Properties,Jamison Properties,exact_canonical,,false
59557fb9-7b0a-4c63-b202-61ab73205115,Grayson,695 SOUTH VERMONT AVENUE LOS ANGELES CA 90005,developer,Jamison Services,Jamison Properties,most_recent_wins,high,low,2026-04-10,15,Jamison Properties,Jamison Properties,exact_canonical,,false
12099ae4-a746-48b7-b150-67e800bd36be,Tower Flats,2412 SOUTH FEDERAL AVENUE LOS ANGELES CA 90064,developer,Markwood Enterprises,IKON LTD.,most_recent_wins,high,low,2026-04-16,2,IKON LTD.,IKON LTD.,exact_canonical,,false
a765dcf9-4d8b-4bc9-8648-122181471f4f,Hollywood & Wilcox,6430 HOLLYWOOD BOULEVARD LOS ANGELES CA 90028,developer,The Sullivan Family / Hines,LeFrak,most_recent_wins,high,low,2026-04-16,2,LeFrak,LeFrak,exact_canonical,,false
a3d22897-a405-46ac-bbfc-3e2092e33aa0,11261 W Santa Monica Blvd,11261 WEST SANTA MONICA BOULEVARD LOS ANGELES CA 90025,developer,Wiseman Development,Wiseman Residential,most_recent_wins,high,low,2026-04-16,7,Wiseman Residential,Wiseman Residential,exact_canonical,,false
c06020f6-7d69-40f8-9312-dd8a0a0b0027,6055 Pico,6055 WEST PICO BOULEVARD LOS ANGELES CA 90035,developer,Wiseman Development,Wiseman Residential,most_recent_wins,high,low,2026-04-16,10,Wiseman Residential,Wiseman Residential,exact_canonical,,false
